0,Unnamed: 0,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,year1,year2
10,10,11,20,1,70,11200,1,0,1,1,1,1,1,1.69E-05,0,0,0.25,0.125,5,5,1965,1965,1.39E-16,1,-4.08E-17,9.41E-17,1,0,0.5,0.5,6.84E-13,0.6,0.6,0.25,271.8,906,0.1,0,134,1040,1,1,1,1,1040,0,0,1040,1,0,1,0,3,1,0.6,5,1,0,0,0.2,54,0.3,1,384,0.6,0.6,1,0,0,0,0,0,0,0,0,1,0,2,2008,1,1,129500,43,43
11,11,12,60,1,85,11924,1,0,0.75,1,1,1,1,7.39E-05,0,0,0.25,0.5,9,5,2005,2006,1.39E-16,1,-9.43E-19,7.12E-16,7.44E-19,286,1,0.5,1,1,0.6,0.25,998,998,0.1,0,177,1175,1,1,1,1,1182,1142,0,2324,1,0,3,0,4,1,1,11,1,2,0.8,0.6,14,1,3,736,0.6,0.6,1,147,21,0,0,0,0,0,0,1,0,7,2006,-4.67E-20,0.8,345000,1,0
12,12,13,20,1,70,12968,1,0,0.5,1,1,1,1,1.69E-05,0,0,0.25,0.125,5,6,1962,1962,1.39E-16,1,-4.08E-17,1.95E-18,1,0,0.5,0.5,6.84E-13,0.6,0.6,0.25,552.75,737,0.1,0,175,912,1,0.6,1,1,912,0,0,912,1,0,1,0,2,1,0.6,4,1,0,0,0.2,57,0.3,1,352,0.6,0.6,1,140,0,0,0,176,0,0,0,1,0,9,2008,1,1,144000,46,46
13,13,14,20,1,91,10652,1,0,0.75,1,1,1,1,-5.37E-07,0,0,0.25,0.125,7,5,2006,2007,1,1,1,1,7.44E-19,306,0.75,0.5,1,0.8,0.6,0.75,0,0,0.1,0,1494,1494,1,1,1,1,1494,0,0,1494,0,0,2,0,3,1,0.8,7,1,1,0.8,0.8,13,0.6,3,840,0.6,0.6,1,160,33,0,0,0,0,0,0,1,0,8,2007,-4.67E-20,0.8,279500,1,0
14,14,15,20,1,70,10920,1,0,0.75,1,1,0,1,0.999999979,0,0,0.25,0.125,6,5,1960,1960,1.39E-16,1,2.57E-16,-6.51E-19,-2.22E-15,212,0.5,0.5,6.84E-13,0.6,0.6,0.25,366.5,733,0.1,0,520,1253,1,0.6,1,1,1253,0,0,1253,1,0,1,1,2,1,0.6,5,1,1,0.4,0.8,59,0.6,1,352,0.6,0.6,1,0,213,176,0,0,0,0,0.5,1,0,5,2008,1,1,157000,48,48
15,15,16,45,-3.33E-16,51,6120,1,0,1,1,1,0,1,-0.000112956,0,0,0.25,0.25,7,8,1929,2001,1,1,3.47E-17,5.94E-17,1,0,0.5,0.5,0,0.6,0.6,0.25,0,0,0.1,0,832,832,1,1,1,0.75,854,0,0,854,0,0,1,0,2,1,0.6,5,1,0,0,0.2,28,0.3,2,576,0.6,0.6,1,48,112,0,0,0,0,0,1,1,0,7,2007,1,1,132000,78,6
16,16,17,20,1,70,11241,1,0,0.75,1,1,1.89E-18,1,0.999999979,0,0,0.25,0.125,6,7,1970,1970,1,1,3.47E-17,5.94E-17,-2.22E-15,180,0.5,0.5,6.84E-13,0.6,0.6,0.25,433.5,578,0.1,0,426,1004,1,1,1,1,1004,0,0,1004,1,0,1,0,2,1,0.6,5,1,1,0.6,0.8,49,1,2,480,0.6,0.6,1,0,0,0,0,0,0,0,0,9.15E-17,700,3,2010,1,1,149000,40,40
17,17,18,90,1,72,10791,1,0,1,1,1,1,1,1.69E-05,0,0,0,0.125,4,5,1967,1967,1,1,2.57E-16,-6.51E-19,1,0,0.5,0.5,2.79E-17,0,0,0,0,0,0,0,0,0,1,0.6,1,1,1296,0,0,1296,0,0,2,0,2,2,0.6,6,1,0,0,0.5,52,0.3,2,516,0.6,0.6,1,0,0,0,0,0,0,0,0,9.15E-17,500,10,2006,1,1,90000,39,39
18,18,19,20,1,66,13695,1,0,1,1,1,1,1,0.00013699,1,0,0.25,0.125,5,5,2004,2004,1,1,1,1,1,0,0.5,0.5,1,0.6,0.6,0.25,646,646,0.1,0,468,1114,1,1,1,1,1114,0,0,1114,1,0,1,1,3,1,0.8,6,1,0,0,0.2,15,0.3,2,576,0.6,0.6,1,0,102,0,0,0,0,0,0,1,0,6,2008,1,1,159000,4,4
19,19,20,20,1,70,7560,1,0,1,1,1,1,1,0.999999979,0,0,0.25,0.125,5,6,1958,1965,1.39E-16,1,-9.91E-20,1.95E-18,1,0,0.5,0.5,6.84E-13,0.6,0.6,0.25,100.8,504,0.1,0,525,1029,1,0.6,1,1,1339,0,0,1339,0,0,1,0,3,1,0.6,6,0.875,0,0,0.8,61,0.3,1,294,0.6,0.6,1,0,0,0,0,0,0,0,0.75,1,0,5,2009,0,0.5,139000,51,44
20,20,21,60,1,101,14215,1,0,0.75,1,1,0,1,7.39E-05,0,0,0.25,0.5,8,5,2005,2006,1,1,1,1,-2.22E-15,380,0.75,0.5,1,1,0.6,0.75,0,0,0.1,0,1158,1158,1,1,1,1,1158,1218,0,2376,0,0,3,1,4,1,0.8,9,1,1,0.8,0.6,14,0.6,3,853,0.6,0.6,1,240,154,0,0,0,0,0,0,1,0,11,2006,-4.67E-20,0.8,325300,1,0
21,21,22,45,-3.33E-16,57,7449,1,0.5,1,0.75,1,1,1,1.17E-05,0,0,0.25,0.25,7,7,1930,1950,1,1,3.47E-17,5.94E-17,1,0,0.5,0.5,1,0.6,0.6,0.25,0,0,0.1,0,637,637,1,1,1,0.5,1108,0,0,1108,0,0,1,0,3,1,0.8,6,1,1,0.8,0.8,89,0.3,1,280,0.6,0.6,0,0,0,205,0,0,0,0,1,1,0,6,2007,1,1,139400,77,57
22,22,23,20,1,75,9742,1,0,1,1,1,1,1,-5.37E-07,0,0,0.25,0.125,8,5,2002,2002,1.39E-16,1,1,1,-2.22E-15,281,0.75,0.5,1,0.8,0.6,0.25,0,0,0.1,0,1777,1777,1,1,1,1,1795,0,0,1795,0,0,2,0,3,1,0.8,7,1,1,0.8,0.8,17,0.6,2,534,0.6,0.6,1,171,159,0,0,0,0,0,0,1,0,9,2008,1,1,230000,6,6
23,23,24,120,-3.33E-16,44,4224,1,0,1,1,1,1,1,-7.24E-09,0,0,1,0.125,5,7,1976,1976,1,1,-1.65E-19,-8.62E-18,1,0,0.5,0.5,1,0.8,0.6,0.25,840,840,0.1,0,200,1040,1,0.6,1,1,1060,0,0,1060,1,0,1,0,3,1,0.6,6,1,1,0.6,0.8,43,0.3,2,572,0.6,0.6,1,100,110,0,0,0,0,0,0,1,0,6,2007,1,1,129900,31,31
24,24,25,20,1,70,8246,1,0,0.75,1,1,1,1,1.69E-05,0,0,0.25,0.125,5,8,1968,2001,1,1,-8.17E-18,1.95E-18,1,0,0.5,0.75,6.84E-13,0.6,0.6,0.5,557.4,188,0.75,668,204,1060,1,1,1,1,1060,0,0,1060,1,0,1,0,3,1,0.8,6,1,1,0.6,0.8,51,0.3,1,270,0.6,0.6,1,406,90,0,0,0,0,0,0.75,1,0,5,2010,1,1,154000,42,9
25,25,26,20,1,110,14230,1,0,1,1,1,0,1,7.39E-05,0,0,0.25,0.125,8,5,2007,2007,1,1,1,1,7.44E-19,640,0.75,0.5,1,0.8,0.6,0.25,0,0,0.1,0,1566,1566,1,1,1,1,1600,0,0,1600,0,0,2,0,3,1,0.8,7,1,1,0.8,0.8,12,0.6,3,890,0.6,0.6,1,0,56,0,0,0,0,0,0,1,0,7,2009,1,1,256300,2,2
26,26,27,20,1,60,7200,1,0,1,1,1,0,1,0.999999979,0,0,0.25,0.125,5,7,1951,2000,1,1,3.47E-17,5.94E-17,1,0,0.5,0.5,6.84E-13,0.6,0.6,0.5,262.8,234,0.3,486,180,900,1,0.6,1,1,900,0,0,900,0,1,1,0,3,1,0.8,5,1,0,0,0.2,14,0.3,2,576,0.6,0.6,1,222,32,0,0,0,0,0,0,1,0,5,2010,1,1,134800,59,10
27,27,28,20,1,98,11478,1,0,1,1,1,1,1,7.39E-05,0,0,0.25,0.125,8,5,2007,2008,1,1,1,1,7.44E-19,200,0.75,0.5,1,1,0.6,0.25,1218,1218,0.1,0,486,1704,1,1,1,1,1704,0,0,1704,1,0,2,0,3,1,0.8,7,1,1,0.8,0.8,11,0.6,3,772,0.6,0.6,1,0,50,0,0,0,0,0,0,1,0,5,2010,1,1,306000,3,2
28,28,29,20,1,47,16321,1,0,0.75,1,1,1.89E-18,1,0.999999979,0,0,0.25,0.125,5,6,1957,1997,1,1,2.57E-16,-6.51E-19,1,0,0.5,0.5,6.84E-13,0.6,0.6,1,638.5,1277,0.1,0,207,1484,1,0.6,1,1,1600,0,0,1600,1,0,1,0,2,1,0.6,6,1,2,0.8,0.8,62,0.6,1,319,0.6,0.6,1,288,258,0,0,0,0,0,0,1,0,12,2006,1,1,207500,49,9
29,29,30,30,-3.33E-16,60,6324,1,0,0.75,1,1,1,1,-0.000112956,1,0.5,0.25,0.125,4,6,1927,1950,1,1,2.57E-16,-6.51E-19,1,0,0.5,0.5,0,0.6,0.6,0.25,0,0,0.1,0,520,520,1,0.4,0,1,520,0,0,520,0,0,1,0,1,1,0.4,4,1,0,0,0.2,99,0.3,1,240,0.4,0.6,1,49,0,87,0,0,0,0,0,1,0,5,2008,1,1,68500,81,58
30,30,31,70,0,50,8500,1,1,1,1,1,1,1,1.17E-05,1,0,0.25,0.5,4,4,1920,1950,0,1,-9.91E-20,7.61E-15,1,0,0.5,0.25,0,0.6,0.6,0.25,0,0,0.1,0,649,649,1,0.6,0,1,649,668,0,1317,0,0,1,0,3,1,0.6,6,1,0,0,0.2,99,0.3,1,250,0.6,0.4,0,0,54,172,0,0,0,0,0.75,1,0,7,2008,1,1,40000,88,58
31,31,32,20,1,70,8544,1,0,0.75,1,1,1.89E-18,1,1.69E-05,0,0,0.25,0.125,5,6,1966,2006,1,1,-4.08E-17,9.41E-17,1,0,0.5,0.5,6.84E-13,0.6,0.6,0.25,0,0,0.1,0,1228,1228,1,0.8,1,1,1228,0,0,1228,0,0,1,1,3,1,0.8,6,1,0,0,0.8,53,0.3,1,271,0.6,0.6,1,0,65,0,0,0,0,0,0.75,1,0,6,2008,1,1,149350,42,2
32,32,33,20,1,85,11049,1,0,1,1,1,0,1,-5.37E-07,0,0,0.25,0.125,8,5,2007,2007,1,1,1,1,1,0,0.75,0.5,1,1,0.6,0.75,0,0,0.1,0,1234,1234,1,1,1,1,1234,0,0,1234,0,0,2,0,3,1,0.8,7,1,0,0,0.8,12,0.6,2,484,0.6,0.6,1,0,30,0,0,0,0,0,0,1,0,1,2008,1,1,179900,1,1
33,33,34,20,1,70,10552,1,0,0.75,1,1,1,1,0.999999979,0,0,0.25,0.125,5,5,1959,1959,1.39E-16,1,-9.91E-20,7.61E-15,1,0,0.5,0.5,6.84E-13,0.6,0.6,0.25,305.4,1018,0.1,0,380,1398,1,0.8,1,1,1700,0,0,1700,0,1,1,1,4,1,0.8,6,1,1,0.8,0.8,60,0.6,2,447,0.6,0.6,1,0,38,0,0,0,0,0,0,1,0,4,2010,1,1,165500,51,51
34,34,35,120,1,60,7313,1,0,1,1,1,1,1,7.39E-05,0,0,1,0.125,9,5,2005,2005,1.39E-16,1,2.57E-16,-6.51E-19,-2.22E-15,246,1,0.5,1,1,0.6,0.25,1153,1153,0.1,0,408,1561,1,1,1,1,1561,0,0,1561,1,0,2,0,2,1,1,6,1,1,0.8,0.8,14,1,2,556,0.6,0.6,1,203,47,0,0,0,0,0,0,1,0,8,2007,1,1,277500,2,2
35,35,36,60,1,108,13418,1,0,1,1,1,1,1,7.39E-05,0,0,0.25,0.5,8,5,2004,2005,1,1,1,1,7.44E-19,132,0.75,0.5,1,1,0.6,0.75,0,0,0.1,0,1117,1117,1,1,1,1,1132,1320,0,2452,0,0,3,1,4,1,0.8,9,1,1,0.8,0.6,15,1,3,691,0.6,0.6,1,113,32,0,0,0,0,0,0,1,0,9,2006,1,1,309000,2,1
36,36,37,20,1,112,10859,1,0,1,1,1,0,1,-5.37E-07,0,0,0.25,0.125,5,5,1994,1995,1,1,1,1,1,0,0.5,0.5,1,0.8,0.6,0.25,0,0,0.1,0,1097,1097,1,1,1,1,1097,0,0,1097,0,0,1,1,3,1,0.6,6,1,0,0,0.8,24,0.3,2,672,0.6,0.6,1,392,64,0,0,0,0,0,0,1,0,6,2009,1,1,145000,15,14
37,37,38,20,1,74,8532,1,0,1,1,1,1,1,0.999999979,0,0,0.25,0.125,5,6,1954,1990,1.39E-16,1,3.47E-17,5.94E-17,-2.22E-15,650,0.5,0.5,6.84E-13,0.6,0.6,0.25,363.9,1213,0.1,0,84,1297,1,0.8,1,1,1297,0,0,1297,0,1,1,0,3,1,0.6,5,1,1,0.6,0.8,65,1,2,498,0.6,0.6,1,0,0,0,0,0,0,0,0,1,0,10,2009,1,1,153000,55,19
38,38,39,20,1,68,7922,1,0,1,1,1,1,1,0.999999979,0,0,0.25,0.125,5,7,1953,2007,1,1,1,1,1,0,0.5,0.75,6.84E-13,0.6,0.6,0.25,731,731,0.1,0,326,1057,1,0.6,1,1,1057,0,0,1057,1,0,1,0,3,1,0.8,5,1,0,0,0.2,66,0.3,1,246,0.6,0.6,1,0,52,0,0,0,0,0,0,1,0,1,2010,1,0.5,109000,57,3
39,39,40,90,1,65,6040,1,0,1,1,1,1,1,-1.18E-05,0,0,0,0.125,4,5,1955,1955,1,1,1.11E-16,1.95E-18,1,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,1,0.6,0,0.25,1152,0,0,1152,0,0,2,0,2,2,0.4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2008,1,1,82000,53,53
40,40,41,20,1,84,8658,1,0,1,1,1,1,1,0.999999979,0,0,0.25,0.125,6,5,1965,1965,1,1,3.47E-17,5.94E-17,-2.22E-15,101,0.5,0.5,6.84E-13,0.6,0.6,0.25,192.9,643,0.1,0,445,1088,1,1,1,1,1324,0,0,1324,0,0,2,0,3,1,0.6,6,1,1,0.6,0.8,54,0.6,2,440,0.6,0.6,1,0,138,0,0,0,0,0,0.5,1,0,12,2006,1,0.5,160000,41,41
41,41,42,20,1,115,16905,1,0,1,1,1,1,1,-5.39E-06,0,0,0.25,0.125,5,6,1959,1959,1,1,1,1,1,0,0.5,0.75,6.84E-13,0.6,0.6,1,483.5,967,0.1,0,383,1350,1,0.8,1,1,1328,0,0,1328,0,1,1,1,2,1,0.6,5,1,2,0.8,0.8,60,0.6,1,308,0.6,0.6,0.5,0,104,0,0,0,0,0,0,1,0,7,2007,1,1,170000,48,48
42,42,43,85,1,70,9180,1,0,0.75,1,1,1.89E-18,1,0.00013699,0,0,0.25,0.875,5,7,1983,1983,1,1,-4.08E-17,9.41E-17,1,0,0.5,0.5,6.84E-13,0.8,0.6,0.75,578.85,747,0.2,93,0,840,1,0.8,1,1,884,0,0,884,1,0,1,0,2,1,0.8,5,1,0,0,0.8,36,0.6,2,504,0.6,0.8,1,240,0,0,0,0,0,0,0.75,1,0,12,2007,1,1,144000,24,24
43,43,44,20,1,70,9200,1,0,0.75,1,1,1.89E-18,1,-5.37E-07,0,0,0.25,0.125,5,6,1975,1980,1.39E-16,1,1,1,1,0,0.5,0.5,6.84E-13,0.8,0.6,0.75,301.5,280,0.5,491,167,938,1,0.6,1,1,938,0,0,938,1,0,1,0,3,1,0.6,5,1,0,0,0.2,42,0.3,1,308,0.6,0.6,1,145,0,0,0,0,0,0,0.75,1,0,7,2008,1,1,130250,33,28
44,44,45,20,1,70,7945,1,0,1,1,1,1,1,0.999999979,0,0,0.25,0.125,5,6,1959,1959,1,1,-9.91E-20,5.94E-17,1,0,0.5,0.5,6.84E-13,0.6,0.6,0.25,387.25,179,0.5,506,465,1150,1,1,1,0.75,1150,0,0,1150,1,0,1,0,3,1,0.6,6,1,0,0,0.8,60,0.6,1,300,0.6,0.6,1,0,0,0,0,0,0,0,0,1,0,5,2006,1,1,141000,47,47
45,45,46,120,1,61,7658,1,0,1,1,1,1,1,7.39E-05,0,0,1,0.125,9,5,2005,2005,1.39E-16,1,2.57E-16,-6.51E-19,-2.22E-15,412,1,0.5,1,1,0.6,0.25,456,456,0.1,0,1296,1752,1,1,1,1,1752,0,0,1752,1,0,2,0,2,1,1,6,1,1,0.8,0.8,14,0.6,2,576,0.6,0.6,1,196,82,0,0,0,0,0,0,1,0,2,2010,1,1,319900,5,5
46,46,47,50,1,48,12822,1,0,0.75,1,1,1.89E-18,1,4.57E-05,0,0,0.25,0.375,7,5,2003,2003,1,1,1,1,1,0,0.75,0.5,1,1,0.6,0.25,1351,1351,0.1,0,83,1434,1,1,1,1,1518,631,0,2149,1,0,1,1,1,1,0.8,6,1,1,1,0.8,16,0.6,2,670,0.6,0.6,1,168,43,0,0,198,0,0,0,1,0,8,2009,1,0.5,239686,6,6
47,47,48,20,-8.31E-19,84,11096,1,0,1,1,1,1,1,-1.55E-05,0,0,0.25,0.125,8,5,2006,2006,1,1,1,1,1,0,0.75,0.5,1,0.8,0.6,0.75,24,24,0.1,0,1632,1656,1,1,1,1,1656,0,0,1656,0,0,2,0,3,1,0.8,7,1,0,0,0.8,13,0.6,3,826,0.6,0.6,1,0,146,0,0,0,0,0,0,1,0,7,2007,1,1,249700,1,1
48,48,49,190,-3.33E-16,33,4456,1,0,1,1,1,1,1,1.60E-05,0,0,0,0.5,4,5,1920,2008,1,1,2.57E-16,-6.51E-19,1,0,0.5,0.5,0,0.6,0.6,0.25,0,0,0.1,0,736,736,1,0.8,1,1,736,716,0,1452,0,0,2,0,2,3,0.6,8,1,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,1,0,6,2009,-4.67E-20,0.8,113000,89,1
49,49,50,20,1,66,7742,1,0,1,1,1,1,1,1.69E-05,0,0,0.25,0.125,5,7,1966,1966,1,1,-4.08E-17,9.41E-17,1,0,0.5,0.5,6.84E-13,0.6,0.6,0.25,381.5,763,0.1,0,192,955,1,1,1,1,955,0,0,955,1,0,1,0,3,1,0.6,6,1,0,0,0.8,53,0.3,1,386,0.6,0.6,1,0,0,0,0,0,0,0,0.75,1,0,1,2007,1,1,127000,41,41
50,50,51,60,1,70,13869,1,0,0.5,1,1,0,1,3.00E-05,0,0,0.25,0.5,6,6,1997,1997,1,1,1,1,1,0,0.5,0.5,1,0.8,0.6,0.75,182,182,0.1,0,612,794,1,0.8,1,1,794,676,0,1470,0,1,2,0,3,1,0.6,6,1,0,0,0.8,22,1,2,388,0.6,0.6,1,0,75,0,0,0,0,0,0,1,0,7,2007,1,1,177000,10,10
51,51,52,50,-3.33E-16,52,6240,1,0,1,1,1,1,1,-0.000112956,0,0,0.25,0.375,6,6,1934,1950,1,1,3.47E-17,5.94E-17,1,0,0.5,0.5,1,0.6,0.6,0.25,0,0,0.1,0,816,816,1,0.6,1,1,816,0,360,1176,0,0,1,0,3,1,0.6,6,1,1,0.8,0.2,34,0.3,2,528,0.6,0.6,1,112,0,0,0,0,0,0,0.75,9.15E-17,400,9,2006,1,1,114500,72,56
52,52,53,90,-3.33E-16,110,8472,0.5,0,0.5,0.75,1,0,0.5,1.17E-05,0.5,0,0,0.125,5,5,1963,1963,1,1,3.47E-17,5.94E-17,1,0,0.25,0.5,6.84E-13,0.8,0.6,1,732.8,104,1,712,0,816,1,0.6,0,1,816,0,0,816,1,0,1,0,2,1,0.6,5,1,0,0,0.5,56,0.3,2,516,0.6,0.6,1,106,0,0,0,0,0,0,0,1,0,5,2010,1,1,110000,47,47
53,53,54,20,1,68,50271,1,0,0.75,0.25,1,1,1,2.02E-09,0,0,0.25,0.125,9,5,1981,1987,1,4.54E-17,-9.43E-19,7.12E-16,1,0,0.75,0.5,6.84E-13,1,0.6,1,1810,1810,0.1,0,32,1842,1,0.8,1,1,1842,0,0,1842,2,0,0,1,0,1,0.8,5,1,1,0.8,0.8,38,1,3,894,0.6,0.6,1,857,72,0,0,0,0,0,0,1,0,11,2006,1,1,385000,25,19
54,54,55,80,1,60,7134,1,0,1,0.75,1,1,0.5,0.999999979,0,0,0.25,1,5,5,1955,1955,1,1,2.57E-16,-6.51E-19,1,0,0.5,0.5,6.84E-13,0.6,0.6,0.25,288,384,0.1,0,0,384,1,0.6,1,1,1360,0,0,1360,0,0,1,0,3,1,0.6,6,0.875,1,0.6,0.2,57,0.3,2,572,0.6,0.6,1,0,50,0,0,0,0,0,0.75,1,0,2,2007,1,1,130000,52,52
55,55,56,20,1,100,10175,1,0,0.75,1,1,1,1,0.999999979,0,0,0.25,0.125,6,5,1964,1964,1,1,-4.08E-17,1.95E-18,-2.22E-15,272,0.5,0.5,6.84E-13,0.6,0.6,0.25,245,490,0.1,0,935,1425,1,0.8,1,1,1425,0,0,1425,0,0,2,0,3,1,0.6,7,1,1,0.8,0.8,55,0.6,2,576,0.6,0.6,1,0,0,0,407,0,0,0,0,1,0,7,2008,1,1,180500,44,44
